Code_commune_INSEE,Nom_commune,Code_postal,Libelle_acheminement,nom,url_end,type1,min1,med2,max3,type2,min1.1,med2.1,max3.1,type3,min1.2,med2.2,max3.2
34172,MONTPELLIER,34070,MONTPELLIER,montpellier,montpellier-34070,,,,,,,,,,,,
40072,CASTELNAU TURSAN,40320,CASTELNAU TURSAN,castelnau-tursan,castelnau-tursan-40320,,940,1 045,1 202,,,,,,,,
40073,CASTELNER,40700,CASTELNER,castelner,castelner-40700,,963,1 071,1 231,,,,,,,,
40075,CASTETS,40260,CASTETS,castets,castets-40260,,1 023,1 692,2 207,,1 095,1 811,2 362,,,,
40080,CAZERES SUR L ADOUR,40270,CAZERES SUR L ADOUR,cazeres-sur-l-adour,cazeres-sur-l-adour-40270,,836,1 249,1 679,,946,1 414,1 900,,,,
40082,CLASSUN,40320,CLASSUN,classun,classun-40320,,1 084,1 223,1 406,,,,,,,,
40083,CLEDES,40320,CLEDES,cledes,cledes-40320,,766,1 022,1 533,,,,,,,,
40084,CLERMONT,40180,CLERMONT,clermont,clermont-40180,,1 098,1 468,2 570,,,,,,,,
40093,ESCALANS,40310,ESCALANS,escalans,escalans-40310,,1 003,1 224,1 408,,,,,,,,
40099,FARGUES,40500,FARGUES,fargues,fargues-40500,,1 253,1 392,1 601,,,,,,,,
40103,GAILLERES,40090,GAILLERES,gailleres,gailleres-40090,,1 261,1 401,1 612,,,,,,,,
40107,GARROSSE,40110,GARROSSE,garrosse,garrosse-40110,,1 077,1 436,2 154,,,,,,,,
40110,GEAUNE,40320,GEAUNE,geaune,geaune-40320,,501,1 002,1 379,,,,,,,,
40116,GOUTS,40400,GOUTS,gouts,gouts-40400,,1 181,1 312,1 509,,,,,,,,
40120,HASTINGUES,40300,HASTINGUES,hastingues,hastingues-40300,,1 257,1 429,1 950,,1 556,1 769,2 414,,,,
40122,HAUT MAUCO,40280,HAUT MAUCO,haut-mauco,haut-mauco-40280,,1 236,1 769,2 590,,,,,,,,
40123,HERM,40990,HERM,herm,herm-40990,,1 152,1 621,2 423,,1 291,1 816,2 716,,,,
40124,HERRE,40310,HERRE,herre,herre-40310,,841,1 121,1 682,,,,,,,,
40125,HEUGAS,40180,HEUGAS,heugas,heugas-40180,,1 078,1 501,1 726,,,,,,,,
40126,HINX,40180,HINX,hinx,hinx-40180,,958,1 771,2 069,,860,1 589,1 857,,,,
40134,LABOUHEYRE,40210,LABOUHEYRE,labouheyre,labouheyre-40210,,862,1 423,2 127,,1 217,2 009,3 002,,,,
40137,LACQUY,40120,LACQUY,lacquy,lacquy-40120,,1 167,1 296,1 491,,,,,,,,
40139,LAGLORIEUSE,40090,LAGLORIEUSE,laglorieuse,laglorieuse-40090,,1 198,1 554,1 787,,,,,,,,
40147,LAUREDE,40250,LAUREDE,laurede,laurede-40250,,948,1 229,1 473,,,,,,,,
40149,LENCOUACQ,40120,LENCOUACQ,lencouacq,lencouacq-40120,,1 238,1 376,2 408,,,,,,,,
40150,LEON,40550,LEON,leon,leon-40550,,1 050,1 999,2 479,,1 158,2 205,2 734,,,,
40151,LESGOR,40400,LESGOR,lesgor,lesgor-40400,,1 002,1 446,1 663,,,,,,,,
40155,LINXE,40260,LINXE,linxe,linxe-40260,,1 409,2 072,2 446,,1 301,1 913,2 259,,,,
40160,LOURQUEN,40250,LOURQUEN,lourquen,lourquen-40250,,1 008,1 271,1 462,,,,,,,,
